city,price,area,house type,rooms,bars,furniture,lift,parking,air condition
רמת גן,2790000,90,דו משפחתי,4,1,0,0, חניה משותפת, בחדרים ובסלון
רמת גן,2750000,90,בית פרטי,4,1,0,0, אין, בחדרים ובסלון
תל אביב יפו,13000000,157,דופלקס,6,0,0,1, פרטית - לא מקורה, בחדרים
תל אביב יפו,1350000,57,דירה,2.5,1,1,0, ברחוב, בחדרים ובסלון
באר שבע,1570000,160,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
וירושלים,3600000,160,דופלקס,6,0,1,0, פרטית - מקורה, בחדרים ובסלון
באר שבע,960000,96,דירה,4,1,1,0, חניה משותפת, בחדרים ובסלון
תל אביב יפו,2450000,100,דירה,3,1,1,0, רחבה ציבורית, בחדרים
ירושלים,16800000,678,וילה,6,0,0,1, פרטית - מקורה, בחדרים ובסלון
אשדוד,1750000,112,דירה,4,1,1,1, אין, בחדרים ובסלון
נהריה,2650000,333,בית פרטי,9,1,0,0, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,5700000,200,דירה,5,0,0,0, אין, אין
חיפה,950000,90,דירה,4,0,0,0, אין, בחדרים ובסלון
רחובות,2230000,110,דירה,4,1,1,1, פרטית - מקורה, מיני מרכזי
רחובות,1740000,105,דירה,4,1,1,1, פרטית - לא מקורה, מיני מרכזי
גבעת שמואל,5300000,177,דירת גג,6,0,0,1, פרטית - מקורה, מיזוג מרכזי
חדרה,1400000,116,דירה,3.5,0,0,0, אין, בחדרים ובסלון
גבעת שמואל,2800000,132,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
אור עקיבא,2000000,120,דירה,5.5,0,0,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,3000000,65,דירה,2.5,0,0,0, אין, בחדרים ובסלון
פתח תקווה,0,140,דירה,5,1,1,1, פרטית - מקורה, מיני מרכזי
חיפה,780000,68,דירה,4,1,0,0, אין, אין
רמת גן,1450000,55,דירה,2,0,0,0, רחבה ציבורית, בחדרים ובסלון
גן יבנה,6830000,2211,מגרש למגורים,1,0,0,0, אין, אין
כפר תבור,3100000,70,בית פרטי,2.5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,3300000,65,דירה,2.5,0,0,1, אין, בחדרים ובסלון
חיפה,1700000,100,דירה,4,0,0,1, פרטית - לא מקורה, אין
רעננה,4750000,0,דו משפחתי,6,0,0,0, פרטית - מקורה, מיני מרכזי
בת ים,16000000,80,דירה,3,1,0,1, חניה משותפת, בחדרים ובסלון
בת ים,16000000,80,דירה,3,1,0,1, חניה משותפת, בחדרים ובסלון
נתניה,2900000,148,דירה,5,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
תל אביב יפו,3000000,67,דירה,2.5,0,0,0, אין, בחדרים ובסלון
תל אביב יפו,2600000,65,דירה,2.5,0,0,0, ברחוב, בחדרים
תל אביב יפו,5500000,125,דירה,4,0,1,1, פרטית - מקורה, בחדרים ובסלון
לוד,1200000,64,דירה,3,1,0,0, פרטית - לא מקורה, מיזוג מרכזי
נהריה,2950000,250,בית פרטי,5,1,1,0, אין, בחדרים ובסלון
ראשון לציון,1920000,95,דירה,5,1,0,1, חניה משותפת, בסלון
בורגתה,4800000,880,בית פרטי,7,0,0,0, פרטית - מקורה, בחדרים ובסלון
קרית גת,1150000,185,דירת גן,4,1,0,1, חניה משותפת, בסלון
רמת גן,2500000,78,דירה,2,0,1,1, פרטית - מקורה, מיזוג מרכזי
עזריה,8000000,2000,בית פרטי,6,0,0,0, אין, אין
רחובות,2100000,100,דירה,4,0,0,1, פרטית - מקורה, מיני מרכזי
פתח תקווה,2250000,145,דופלקס,7,1,0,0, פרטית - מקורה, בחדרים ובסלון
טירת כרמל,635000,56,דירה,3,1,0,0, ברחוב, בסלון
רמת גן,2350000,110,דירה,4,0,0,1, פרטית - מקורה, בסלון
חיפה,555555,70,דירה,1,0,0,0, אין, בחדרים ובסלון
רמת גן,6500000,250,קוטג,6,0,0,0, פרטית - לא מקורה, מיזוג מרכזי
בית שאן,420000,88,דירה,4.5,0,1,0, ברחוב, בחדרים ובסלון
ראשון לציון,2700000,144,דירה,5,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
קרית ג,1270000,175,מיני פנטהאוז,4,1,0,0, רחבה ציבורית, בחדרים ובסלון
ראשון לציון,2590000,111,דירה,5,1,1,1, פרטית - מקורה, מיני מרכזי
אור יהודה,4850000,250,דו משפחתי,8,1,0,0, פרטית - מקורה, בחדרים
ראשון לציון,2850000,145,דופלקס,6,0,1,1, פרטית - מקורה, בחדרים ובסלון
פתח תקווה,1680000,90,דירה,3.5,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
קרית שמונה,1850000,930,בית פרטי,5,0,1,0, פרטית - מקורה, בחדרים ובסלון
אור יהודה,1600000,83,דירה,3.5,0,1,0, ברחוב, בחדרים ובסלון
ירושלים,1850000,50,דירה,2,1,0,1, פרטית - מקורה, אין
ירושלים,3555000,100,דירת גג,4,0,1,0, אין, אין
ירושלים,2950000,100,דירה,4,0,0,0, ברחוב, בסלון
ירושלים,4900000,165,דירה,4,0,0,1, אין, אין
רמת גן,2350000,105,דירה,4.5,1,0,0, פרטית - מקורה, בחדרים ובסלון
אשדוד,2950000,184,פנטהאוז,5,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
אור יהודה,2650000,78,דירה,3,0,0,1, פרטית - מקורה, אין
באר שבע,1450000,132,דירה,5,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
תל אביב יפו,5990000,86,דירה,3.5,1,1,1, חניה משותפת, בחדרים ובסלון
חיפה והסביבה,1395000,128,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים
גני תקווה,2450000,148,דירה,5,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
עומר,0,160,וילה,5,1,0,0, פרטית - מקורה, בחדרים ובסלון
חיפה,1300000,75,דירה,3,1,0,0, אין, בחדרים
חולון,1840000,75,דירה,4,1,1,1, פרטית - לא מקורה, בסלון
אופקים,570000,0,דירה,4,1,0,0, אין, בחדרים ובסלון
אופקים,570000,80,דירה,4,0,0,0, אין, בחדרים ובסלון
 תל אביב יפו,10000000,673,מגרש למגורים,10,0,0,0, אין, אין
בני עי,2520000,170,דו משפחתי,5,0,0,0, פרטית - מקורה, בחדרים ובסלון
באר שבע,1180000,132,דירה,4.5,1,1,1, פרטית - מקורה, בסלון
לוד,1250000,75,דירה,3,0,1,1, חניה משותפת, בחדרים ובסלון
ספיר,1175000,183,בית פרטי,5.5,0,1,0, פרטית - מקורה, בחדרים ובסלון
רמת גן,2790000,90,דירת גן,4,1,0,0, חניה משותפת, בחדרים ובסלון
חולון,2090000,190,דירת גג,4,0,0,0, רחבה ציבורית, בחדרים ובסלון
בת ים,16500000,74,דירה,3,1,1,0, אין, בחדרים ובסלון
ירושלים,2900000,160,קוטג,6,1,1,0, רחבה ציבורית, בחדרים ובסלון
אשדוד,1039000,70,דירה,3,1,1,0, ברחוב, בחדרים ובסלון
בני ברק,1900000,60,דירה,3,1,1,0, אין, בחדרים ובסלון
בוסתן הגליל,10000,400,משק חקלאי,8,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
אשקלון,1390000,128,דירה,4,0,0,1, פרטית - לא מקורה, בחדרים
אבן יהודה,4500000,250,דו משפחתי,5,0,0,0, פרטית - לא מקורה, מיני מרכזי
נשר,1200000,90,דירה,4,0,1,1, אין, בחדרים ובסלון
באר שבע,1335000,140,דירה,4,1,1,1, פרטית - מקורה, מיני מרכזי
תל אביב יפו,2350000,40,דירה,2,1,1,1, חניון בתשלום ליד, בחדרים ובסלון
רעננה,5000000,375,קוטג,6.5,1,1,0, פרטית - מקורה, מיזוג מרכזי
אור יהודה,2095000,100,דירה,3.5,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,2350000,77,דירה,3.5,1,1,0, ברחוב, בחדרים
רמת גן,17800000,75,דירה,3,0,0,0, אין, בחדרים ובסלון
בית זית,9000000,3400,נחלה,1,0,0,0, אין, אין
ירושלים,4300000,153,דירה,5,0,0,0, חניה משותפת, אין
באר שבע,1600000,160,קוטג,5,0,0,0, אין, בחדרים ובסלון
אשדוד,1700000,100,דירה,5,0,0,1, אין, בסלון
רחובות,1890000,123,דירה,4,0,0,1, אין, אין
פראשון לציון,1690000,70,דירה,3.5,1,1,1, פרטית - לא מקורה, בחדרים ובסלון
נתניה,1520000,87,דירה,3.5,1,0,1, חניה משותפת, בחדרים ובסלון
יהוד מונוסון,1890000,95,דירה,4.5,0,0,0, אין, בחדרים
באר שבע,450000,30,דירה,1.5,0,0,0, ברחוב, בסלון
פרדס חנה - כרכור,1430000,100,דירה,4,0,0,1, פרטית - לא מקורה, אין
נוה חוף,290000,125,מיני פנטהאוז,5,1,0,1, פרטית - לא מקורה, מיני מרכזי
פתח תקווה,1530000,95,דירה,3.5,1,0,0, פרטית - לא מקורה, מיזוג מרכזי
חיפה,1800,70,דירה,2.5,0,1,0, אין, בחדרים ובסלון
תל אביב יפו,2850000,0,דירה,4,0,0,0, אין, אין
בת ים,2120000,90,דירה,4,1,1,1, פרטית - מקורה, מיזוג מרכזי
בת ים,1640000,100,דירה,4,0,0,0, פרטית - מקורה, בחדרים ובסלון
חולון,1795000,92,דירה,4,1,0,1, חניה משותפת, אין
חולון,1760000,100,דירה,3.5,0,0,1, חניה משותפת, בחדרים ובסלון
בני עי,1600000,90,דירת גג,4,1,1,0, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,3350000,130,פנטהאוז,5,1,0,1, פרטית - מקורה, בחדרים ובסלון
רחובות,2390000,100,דירה,4,1,0,1, פרטית - מקורה, מיני מרכזי
ירושלים,1630000,65,דירה,3,1,0,0, חניה משותפת, אין
רמת גן ,1715000,75,דירה,4,0,0,0, אין, בחדרים ובסלון
רמת גן,2450000,90,דירה,3.5,0,0,1, פרטית - מקורה, בחדרים
רמת גן,1860000,106,דירה,3,0,0,0, חניה משותפת, בחדרים ובסלון
רמת גן ,2250000,75,דירה,4,1,0,0, ברחוב, בחדרים
רמת גן,1780000,60,דירה,2.5,0,1,0, אין, בחדרים
רמת גן,4080000,116,דירה,4,1,1,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,2800000,110,דירה,5,1,1,1, פרטית - מקורה, בחדרים ובסלון
רמת גן,2050000,80,דירה,2.5,0,0,0, אין, בחדרים
בני ברק,3090000,100,דירה,4.5,0,0,0, אין, בחדרים ובסלון
רמת גן,3890000,106,דירה,4,1,1,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,1950000,80,דירה,4,0,0,0, חניה משותפת, מיני מרכזי
רמת גן,1850000,60,דירה,2,0,0,0, אין, בחדרים
רמת גן,2090000,100,דירה,4.5,0,1,1, חניון בתשלום ליד, בחדרים
רמת גן,1920000,75,דירה,2.5,0,0,0, אין, בחדרים ובסלון
רמת גן,2180000,72,דירה,3,1,1,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,2190000,90,דירה,3.5,0,1,0, אין, בחדרים ובסלון
נהריה,0,200,דירת גן,7,0,0,0, אין, אין
רמלה,1860000,126,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
חיפה,1555555,90,דירה,3.5,1,1,0, אין, בסלון
חדרה,1410000,114,דירה,4,0,1,1, רחבה ציבורית, בחדרים ובסלון
נהריה,1390000,110,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
אשדוד,7000000,600,וילה,7,1,1,0, פרטית - מקורה, מיזוג מרכזי
חיפה,1520000,190,דירת גן,3.5,1,1,1, פרטית - לא מקורה, בסלון
בת ים,1490000,78,דירה,3,0,1,0, אין, בסלון
חולון,1480000,75,דירה,3,1,0,1, חניה משותפת, בחדרים ובסלון
חולון,1400000,75,דירה,3,1,0,0, חניה משותפת, בחדרים ובסלון
חולון,1960000,96,דירה,4,1,0,1, פרטית - מקורה, בחדרים ובסלון
חולון,1360000,75,דירה,3,1,0,0, אין, בחדרים ובסלון
חולון,1360000,70,דירה,3,1,0,0, אין, בחדרים ובסלון
חולון,2540000,122,דירה,5,1,0,1, פרטית - מקורה, מיזוג מרכזי
חולון,1060000,65,דירה,2.5,0,0,0, אין, בחדרים ובסלון
בת ים,1680000,75,דירה,3,1,0,1, פרטית - מקורה, בחדרים ובסלון
חולון,2290000,105,דירה,4,1,0,1, פרטית - מקורה, מיזוג מרכזי
בת ים,1400000,65,דירה,3,0,0,0, אין, בחדרים ובסלון
רחובות,650000,500000,מגרש למגורים,1,0,0,0, אין, אין
חולון,1360000,70,דירה,3,1,0,0, אין, בחדרים ובסלון
אריאל,2300000,128,דופלקס,6,0,1,1, פרטית - מקורה, בחדרים ובסלון
חולון,1395000,75,דירה,3,1,0,0, אין, בסלון
יהוד מונוסון,4650000,207,דו משפחתי,8,0,0,0, פרטית - מקורה, בחדרים ובסלון
תל אביב יפו,3800000,0,בית פרטי,2.5,1,1,0, פרטית - לא מקורה, בחדרים ובסלון
נתניה,3500000,124,דירה,4,0,0,1, פרטית - מקורה, בחדרים ובסלון
באר שבע,825000,94,דירה,4,1,0,0, אין, מיזוג מרכזי
נתניה,2075000,110,דירה,3.5,1,1,1, פרטית - מקורה, בחדרים ובסלון
באר יעקב,2690000,132,דירה,5,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
אשקלון,1650000,128,דירה,5,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
ירושלים,1500000,60,דירה,3,1,1,0, ברחוב, בחדרים
ירושלים,1500000,60,דירה,3,1,1,0, ברחוב, בחדרים
ירושלים,1500000,60,דירה,3,1,1,0, ברחוב, בחדרים
ירושלים,1500000,60,דירה,3.5,1,1,0, ברחוב, בחדרים
אשדוד,2650000,157,דירה,5,0,0,1, פרטית - לא מקורה, מיני מרכזי
אשקלון,1280000,112,דירה,4,0,1,1, חניה משותפת, בחדרים ובסלון
רחובות,1750000,125,דירה,4.5,0,0,1, אין, בחדרים ובסלון
ירושלים,4350000,140,פנטהאוז,4,1,1,1, פרטית - מקורה, בחדרים ובסלון
כפר סבא,2570000,145,דירה,5,1,1,1, פרטית - מקורה, בחדרים ובסלון
רמלה,1589000,80,דירה,4,0,1,1, פרטית - לא מקורה, בחדרים ובסלון
באר שבע,740000,92,דירה,4,0,0,0, אין, בחדרים ובסלון
בנימינה ,34000000,880,בית פרטי,4,0,0,0, פרטית - לא מקורה, אין
גבעתיים,3200000,120,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,3200000,105,דירה,4,0,1,1, פרטית - מקורה, מיזוג מרכזי
גבעתיים,4500000,160,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,3600000,135,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
עכו,1500000,110,דו משפחתי,4,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
קרית ים,1065000,116,דירה,4.5,0,1,0, אין, בחדרים ובסלון
חיפה,1370000,74,דירה,4,0,1,1, פרטית - מקורה, בחדרים ובסלון
פתח תקווה,1770000,100,דירה,4,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
צפת,1180000,120,קוטג,4.5,0,0,0, ברחוב, בחדרים ובסלון
צפת,1180000,140,קוטג,4.5,0,0,0, ברחוב, בחדרים ובסלון
חולון,1900000,85,דירה,4,1,0,1, פרטית - מקורה, בחדרים ובסלון
גבעתיים,3050000,144,דירה,5.5,0,1,0, אין, בחדרים ובסלון
ראשון לציון,1350000,70,דירה,3,0,0,0, אין, בחדרים ובסלון
חיפה,50000,888,יחידת דיור,1,0,0,0, אין, אין
לוד,1100000,65,דירה,3,1,1,1, חניה משותפת, בחדרים ובסלון
ירושלים,3400000,199,דירה,6,1,1,0, רחבה ציבורית, בחדרים ובסלון
ירושלים,3400000,199,קוטג,6,1,1,0, רחבה ציבורית, בחדרים ובסלון
רחובות,3090000,152,פנטהאוז,6.5,1,1,1, פרטית - מקורה, בסלון
קרית מוצקין,1590000,120,דירה,5,0,1,1, פרטית - לא מקורה, מיני מרכזי
באר שבע,780000,78,דירת גן,4,1,0,0, אין, בחדרים ובסלון
רמלה,188000,143,דופלקס,5,0,0,0, פרטית - מקורה, בסלון
פרדס חנה - כרכור,1770000,124,דירה,5,1,1,1, פרטית - מקורה, בחדרים ובסלון
אופקים,579000,75,דירה,3,0,1,0, ברחוב, בסלון
נתניה,1690000,100,דירה,4,1,1,1, פרטית - לא מקורה, בסלון
ראש העין,1940000,125,דירה,5,0,1,1, פרטית - מקורה, מפוצל
ראש העין,2300000,118,דירה,4,1,1,1, פרטית - מקורה, בחדרים ובסלון
קרית גת,825000,84,דירה,3,0,1,0, אין, בסלון
תל אביב יפו,2300000,91,דירה,1,1,0,1, פרטית - מקורה, בחדרים ובסלון
חיפה,1000000,116,דירה,3,0,0,0, אין, בחדרים
נהריה,800000,115,דירה,3,1,0,0, ברחוב, בסלון
טבריה,830000,105,דירה,4,0,1,1, ברחוב, בחדרים ובסלון
פתח תקווה,1780000,110,דירה,4,0,1,1, אין, מיזוג מרכזי
פתח תקווה,1780000,110,דירה,4,0,1,1, אין, מיזוג מרכזי
חדרה,2100000,76,דירה,3.5,0,1,1, פרטית - מקורה, מיני מרכזי
ירוחם,1300000,118,דו משפחתי,5,1,1,0, חניה משותפת, בחדרים ובסלון
גבעת זאב,4250000,480,בית פרטי,8,0,1,0, פרטית - מקורה, בחדרים ובסלון
פתח תקווה,1830000,93,דופלקס,4,1,1,1, פרטית - מקורה, בחדרים ובסלון
 בארותיים,6700000,24000,משק חקלאי,2,0,0,0, אין, אין
אביחיל,8000000,2000,משק חקלאי,1,0,0,0, אין, אין
ביתן אהרן,13000000,3650,משק חקלאי,5.5,0,0,0, אין, אין
אביחיל,5000000,1000,בית פרטי,1,0,0,0, אין, אין
גבעת חן,7500000,15000,משק חקלאי,1,0,0,0, אין, אין
אביחיל,5250000,350,וילה,1,0,0,0, אין, אין
אודים,5000000,500,מגרש למגורים,1,0,0,0, אין, אין
כפר מונש,2800000,700,מגרש למגורים,1,0,0,0, אין, אין
בצרה,14000000,9000,נחלה,1,0,0,0, אין, אין
בצרה,11500000,160,נחלה,1,0,0,0, אין, אין
ביתן אהרן,10000000,23000,נחלה,1,0,0,0, אין, אין
כפר ויתקין,13500000,3500,נחלה,1,0,0,0, אין, אין
כפר ויתקין,6500000,2100,משק חקלאי,1,0,0,0, אין, אין
בני ציון,14000000,9000,נחלה,1,0,0,0, אין, אין
בצרה,7500000,15000,נחלה,1,0,0,0, אין, אין
כפר מונש,3000000,700,מגרש למגורים,1,0,0,0, אין, אין
כפר ויתקין,6500000,2100,נחלה,1,0,0,0, אין, אין
בית הלוי,5100000,200,בית פרטי,5,0,0,0, אין, אין
כפר מונש,4700000,200,בית פרטי,1,0,0,0, אין, אין
בורגתה,2200000,500,מגרש למגורים,1,0,0,0, אין, אין
חרוצים,14000000,8000,נחלה,1,0,0,0, אין, אין
בצרה,14000000,9000,משק חקלאי,1,0,0,0, אין, אין
בית יצחק שער חפר,3500000,500,מגרש למגורים,1,0,0,0, אין, אין
בני ציון,7000000,540,משק חקלאי,1,0,0,0, אין, אין
מונש,4700000,200,בית פרטי,1,0,0,0, אין, אין
בצרה,4500000,500,מגרש למגורים,1,0,0,0, אין, אין
כפר מונש,4700000,200,בית פרטי,5,0,0,0, אין, אין
כפר מונש,4600000,200,בית פרטי,1,0,0,0, אין, אין
כפר מונש,4700000,200,וילה,1,0,0,0, אין, אין
חיפה,1690000,112,דירת גן,5,1,1,0, אין, בחדרים ובסלון
ירושלים,1430000,60,דירה,3,1,0,0, חניה משותפת, בסלון
אופקים,780000,75,דירה,3,1,0,0, אין, בחדרים ובסלון
חריש,1295000,107,דירת גג,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
כפר חיטים,3400000,180,בית פרטי,5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
בית יהושע,7700000,7000,משק חקלאי,1,0,0,0, אין, אין
ירושלים,0,147,דירה,4.5,1,1,1, פרטית - מקורה, מיזוג מרכזי
דימונה,1070000,240,דירת גן,4,0,1,1, פרטית - מקורה, מיני מרכזי
חיפה,720000,80,דירה,3,1,1,0, אין, בחדרים ובסלון
חולון,2100000,100,דירה,4,0,1,1, פרטית - מקורה, בחדרים ובסלון
מעלות תרשיחא,800000,84,דירה,3.5,1,1,0, חניה משותפת, בחדרים
רחובות,1850000,98,דירה,4,0,0,1, פרטית - לא מקורה, מיזוג מרכזי
קצרין,1650000,144,דו משפחתי,5,0,0,0, פרטית - לא מקורה, בחדרים ובסלון
באר שבע,820000,86,דירה,4,0,1,0, חניה משותפת, בסלון
קרית אתא,1029000,107,דירה,4,0,1,1, פרטית - לא מקורה, מיני מרכזי
אבני חפץ,1000000,160,בית פרטי,7,0,0,0, ברחוב, בחדרים ובסלון
נשר,12000000,78,דירה,3,0,0,1, פרטית - מקורה, בחדרים
חיפה,1350000,79,דירה,3.5,1,1,0, אין, בחדרים ובסלון
באר שבע,1100000,110,דירה,5,0,0,0, חניה משותפת, בחדרים ובסלון
נשר,1200000,78,דירה,3,0,0,0, פרטית - מקורה, אין
רמת גן,4500000,172,בית פרטי,4.5,1,1,0, אין, אין
ראשון לציון,1750000,100,דירה,4,0,0,1, פרטית - לא מקורה, בחדרים ובסלון
ירושלים,3600000,220,דירת גן,5.5,0,0,0, ברחוב, בחדרים ובסלון
שני ליבנה,1250000,155,בית פרטי,6.5,0,1,0, פרטית - מקורה, בסלון
ירושלים,3200000,100,דירה,4,1,0,0, פרטית - מקורה, מיזוג מרכזי
דימונה,930000,108,דירה,4,1,0,1, פרטית - לא מקורה, מיני מרכזי
רמת גן,3750000,200,פנטהאוז,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,2500000,100,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
ענב,1700000,190,קוטג,7,0,1,0, פרטית - לא מקורה, בחדרים ובסלון
פתח תקווה,4750000,170,פנטהאוז,1,1,1,1, אין, בחדרים ובסלון
5,1490000,84,דירה,3,0,1,1, ברחוב, בחדרים ובסלון
אשדוד,1490000,84,דירה,3,0,1,1, ברחוב, בחדרים ובסלון
רמת גן,2400000,112,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,2400000,118,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
Tel aviv,2600000,70,דירה,3,0,0,1, ברחוב, בסלון
צור יצחק,1950000,130,דירה,1,1,0,1, פרטית - לא מקורה, בחדרים ובסלון
נתניה,830000,40,דירה,2,0,1,1, אין, בחדרים
לוד,1250000,70,דירה,3,1,1,1, פרטית - מקורה, מיזוג מרכזי
לוד,1250000,70,דירה,3,1,0,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,1800000,61,דירה,4,0,1,0, רחבה ציבורית, בחדרים ובסלון
באר שבע,1670000,150,דירה,5,0,1,1, פרטית - מקורה, בחדרים ובסלון
רמת גן,2600000,130,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,3250000,140,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,2500000,150,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,2800000,135,דירה,5,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,3200000,180,מיני פנטהאוז,5.5,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,6500000,230,קוטג,7,0,0,0, פרטית - מקורה, מיזוג מרכזי
ראשון לציון,6550000,310,דו משפחתי,6,0,0,0, פרטית - לא מקורה, מיזוג מרכזי
דימונה,1350000,147,דופלקס,5,0,1,1, פרטית - מקורה, בחדרים ובסלון
וירושלים,2650000,80,דירה,3.5,1,0,0, אין, בסלון
גבעת זאב,2650000,137,בית פרטי,5,1,1,0, פרטית - מקורה, בחדרים ובסלון
חבר,1400000,117,בית פרטי,4,0,1,0, פרטית - מקורה, בחדרים
ירושלים,4500000,180,דירה,6,1,0,1, פרטית - מקורה, אין
מגדל העמק,599985,50,דירה,2,0,1,0, אין, אין
רמת גן,2690000,120,דירה,5,0,0,1, פרטית - מקורה, בחדרים ובסלון
חיפה,2800000,165,פנטהאוז,5,0,1,0, פרטית - מקורה, מיזוג מרכזי
אשדוד,2600000,171,דירה,5.5,0,1,1, פרטית - לא מקורה, מיני מרכזי
ראש פינה,4900000,250,בית פרטי,8,0,0,0, פרטית - מקורה, בחדרים ובסלון
קצרין,0,350,קוטג,7,0,1,0, פרטית - לא מקורה, אין
צפת,600000,54,דירה,2.5,0,1,1, אין, אין
רמת גן,3800000,130,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
רמת גן,3200000,107,דירה,4,0,0,1, פרטית - מקורה, מיזוג מרכזי
ירושלים,3900000,104,דירה,4,1,0,1, פרטית - מקורה, מיזוג מרכזי
תל אביב יפו,1600000,50,דירה,3,0,0,0, אין, בחדרים ובסלון
מבשרת ציון,2230000,88,דירה,3,0,0,1, פרטית - לא מקורה, בסלון
ירושלים,2680000,90,דירה,4,0,1,0, חניה משותפת, בחדרים ובסלון
רמות מאיר,6000000,520,בית פרטי,8,0,0,0, פרטית - לא מקורה, מיזוג מרכזי
יבנה,2150000,100,דירת גן,4,1,0,0, אין, מיזוג מרכזי
טבריה,577000,78,דירה,3.5,0,1,0, אין, בחדרים ובסלון
רמת גן,55000,12,חניה,1,0,0,0, פרטית - מקורה, אין
ירושלים,1670000,55,דירה,2.5,1,0,0, אין, בחדרים
